Date	Total Tests	Daily Tests (ECLRS)	New Positive Cases (NYSDOH)	Total Positive Cases (TCHD)	Released from Isolation (TCHD)	Active Cases (TCHD)	Active COVID-19 Hospitalizations (CHS)	Total TC Resident Deaths (TCHD)	NYS Vaccine Tracker: Tompkins County 1st Dose	NYS Vaccine Tracker: Tompkins County Complete Series	Reported Positive Self-Tests	Total Positive Self-Tests
3/14/20				1								
3/15/20	46		0	1								
3/16/20	51		1	2								
3/17/20	107		1	3								
3/18/20	145		3	6								
3/19/20	279		0	6								
3/20/20	379		5	11								
3/21/20	449		1	12								
3/22/20	451		3	15								
3/23/20	592		1	16								
3/24/20	666			18								
3/25/20	731		5	23								
3/26/20	1,009		9	32								
3/27/20	1,191		16	48								
3/28/20	1,191		8	56			2					
3/29/20	1,197		14	70			2					
3/30/20	1,369		3	73			1					
3/31/20	1,419		3	76	28	48	1					
4/1/20	1,480		4	80	33	47	1					
4/2/20	1,553		7	87	46	41	2					
4/3/20	1,620		6	93	51	42	2					
4/4/20	1,626		2	95	54	41	2					
4/5/20	1,637		3	98	57	41	1					
4/6/20	1,988		4	102	66	36	3					
4/7/20	2,133		1	103	69	34	3					
4/8/20	2,246		2	105	73	32	5					
4/9/20	2,274		2	107	76	31	5					
4/10/20	2,290		5	112	82	30	4	0				
4/11/20	2,403		1	113	82	31	5	0				
4/12/20	2,408		0	113	83	30	4	0				
4/13/20	2,419		0	113	84	29	4	0				
4/14/20	2,506		3	116	87	29	4	0				
4/15/20	2,546		2	118	90	28	4	0				
4/16/20	2,606		1	119	93	26	5	0				
4/17/20	2,785		2	121	94	27	7	0				
4/18/20	2,808		0	121	94	27	7	0				
4/19/20	2,820		2	123	94	29	6	0				
4/20/20	2,897		0	123	94	29	6	0				
4/21/20	2,947		0	123	94	29	6	0				
4/22/20	2,996		1	124	94	30	5	0				
4/23/20	3,056		5	129	94	35	5	0				
4/24/20	3,095		0	129	94	35	6	0				
4/25/20	3,104		1	130	94	36	6	0				
4/26/20	3,104		0	130	95	35	6	0				
4/27/20	3,212		0	130	97	33	6	0				
4/28/20	3,299		0	130	97	33	5	0				
4/29/20	3,391		2	132	99	33	5	0				
4/30/20	3,578		0	132	100	32	5	0				
5/1/20	3,578		0	132	100	32	5	0				
5/2/20	3,755		1	133	103	30	2	0				
5/3/20	3,767		0	133	106	27	2	0				
5/4/20	4,016		0	133	106	27	2	0				
5/5/20	4,468		0	133	106	27	2	0				
5/6/20	4,510		0	133	107	26	2	0				
5/7/20	4,587		1	134	109	25	2	0				
5/8/20	4,702		0	134	110	24	2	0				
5/9/20	4,712		0	134	112	22	1	0				
5/10/20	4,723		0	134	112	22	1	0				
5/11/20	4,834		0	134	114	20	1	0				
5/12/20	5,022		2	136	114	22	1	0				
5/13/20	5,265		1	137	115	22	1	0				
5/14/20	5,694		0	137	116	21	1	0				
5/15/20	6,316		2	139	116	23	1	0				
5/16/20	6,355		0	139	117	22	1	0				
5/17/20	6,378		2	141	117	24	1	0				
5/18/20	6,624		0	141	117	24	1	0				
5/19/20	7,047		4	145	118	27	1	0				
5/20/20	7,047		0	145	121	24	1	0				
5/21/20	8,221		1	146	121	25	1	0				
5/22/20	8,221		2	148	124	24	1	0				
5/23/20	7,850		1	149	124	25	1	0				
5/24/20	7,863		3	152	127	25	0	0				
5/25/20	7,875		1	153	128	25	0	0				
5/26/20	8,313		0	153	128	25	1	0				
5/27/20	8,535		1	154	133	21	1	0				
5/28/20	9,071		2	156	134	22	1	0				
5/29/20	9,288		0	156	135	21	1	0				
5/30/20	9,288		0	156	135	21	0	0				
5/31/20	9,749		4	160	136	24	0	0				
6/1/20	9,773		0	160	137	23	0	0				
6/2/20	10,050		1	161	140	21	0	0				
6/3/20	10,271		1	162	141	21	0	0				
6/4/20	10,649		1	163	142	21	0	0				
6/5/20	10,960		0	163	144	19	0	0				
6/6/20	11,385		1	164	144	20	0	0				
6/7/20	11,506		1	165	144	21	0	0				
6/8/20	11,542		0	165	145	20	0	0				
6/9/20	11,768		0	165	148	17	0	0				
6/10/20	12,105		0	165	150	15	0	0				
6/11/20	12,322		0	165	154	11	0	0				
6/12/20	12,508		0	165	155	10	0	0				
6/13/20	12,724		1	166	155	11	0	0				
6/14/20	12,818		0	166	155	11	0	0				
6/15/20	12,833		0	166	156	10	0	0				
6/16/20	13,129		0	166	156	10	0	0				
6/17/20	13,402		0	166	158	8	0	0				
6/18/20	13,428		0	166	158	8	0	0				
6/19/20	14,289		0	166	162	4	0	0				
6/20/20	14,561		0	166	162	4	0	0				
6/21/20	14,650		0	166	163	3	0	0				
6/22/20	14,658		0	166	164	2	0	0				
6/23/20	14,996		0	166	165	1	0	0				
6/24/20	15,222		0	166	165	1	0	0				
6/25/20	15,430		0	166	165	1	0	0				
6/26/20	15,647		1	167	165	2	0	0				
6/27/20	15,843		0	167	165	2	0	0				
6/28/20	15,883		0	167	165	2	0	0				
6/29/20	15,889		1	168	165	3	0	0				
6/30/20	16,191		0	168	165	3	0	0				
7/1/20	16,488		0	168	165	3	0	0				
7/2/20	16,718		0	168	166	2	0	0				
7/3/20	17,064		0	168	167	1	0	0				
7/4/20	17,078		0	168	167	1	0	0				
7/5/20	17,078		0	168	167	1	0	0				
7/6/20	17,108		0	168	167	1	0	0				
7/7/20	17,529		1	169	167	2	0	0				
7/8/20	17,842		0	169	167	2	0	0				
7/9/20	17,960		0	169	167	2	0	0				
7/10/20	18,289		3	172	167	5	0	0				
7/11/20	18,580		1	173	167	6	0	0				
7/12/20	18,625		2	175	167	8	0	0				
7/13/20	18,640		1	176	167	9	0	0				
7/14/20	19,063		10	186	169	17	0	0				
7/15/20	19,484		7	193	169	24	0	0				
7/16/20	19,798		0	193	170	23	0	0				
7/17/20	20,324		1	194	170	24	0	0				
7/18/20	20,622		4	198	170	28	0	0				
7/19/20	20,635		4	202	170	32	0	0				
7/20/20	20,645		0	202	170	32	3	0				
7/21/20	20,811		1	203	170	33	4	0				
7/22/20	21,637		3	206	171	35	2	0				
7/23/20	22,072		5	211	172	39	0	0				
7/24/20	22,478		4	215	176	39	0	0				
7/25/20	22,881		2	217	182	35	0	0				
7/26/20	22,898		1	218	184	34	0	0				
7/27/20	22,907		1	219	187	32	0	0				
7/28/20	23,276		0	219	188	31	0	0				
7/29/20	23,683		1	220	188	32	0	0				
7/30/20	24,042		2	222	189	33	0	0				
7/31/20	24,650		0	222	194	28	0	0				
8/1/20	24,824		2	224	198	26	0	0				
8/2/20	24,891		0	224	199	25	0	0				
8/3/20	24,919		2	226	200	26	0	0				
8/4/20	25,331		0	226	201	25	0	0				
8/5/20	26,092		2	228	202	26	0	0				
8/6/20	26,322		0	228	207	21	0	0				
8/7/20	27,441		1	229	210	19	0	0				
8/8/20	27,701		0	229	216	13	0	0				
8/9/20	27,708		0	229	217	12	0	0				
8/10/20	27,715		1	230	217	13	0	0				
8/11/20	27,846		0	230	219	11	0	0				
8/12/20	29,450		0	230	222	8	0	0				
